100 100 #Width Height 
200  # Generations 
63 49  Live Cell 
63 56  Live Cell 
63 57  Live Cell 
63 60  Live Cell 
63 63  Live Cell 
63 64  Live Cell 
63 65  Live Cell 
63 66  Live Cell 
63 69  Live Cell 
63 76  Live Cell 
63 78  Live Cell 
63 79  Live Cell 
63 80  Live Cell 
63 83  Live Cell 
63 85  Live Cell 
63 93  Live Cell 
63 98  Live Cell 
64 3  Live Cell 
64 4  Live Cell 
64 12  Live Cell 
64 18  Live Cell 
64 20  Live Cell 
64 21  Live Cell 
64 29  Live Cell 
64 37  Live Cell 
64 41  Live Cell 
64 43  Live Cell 
64 45  Live Cell 
64 46  Live Cell 
64 50  Live Cell 
64 57  Live Cell 
64 65  Live Cell 
64 66  Live Cell 
64 67  Live Cell 
64 76  Live Cell 
64 83  Live Cell 
64 87  Live Cell 
64 89  Live Cell 
64 97  Live Cell 
65 0  Live Cell 
65 4  Live Cell 
65 6  Live Cell 
65 10  Live Cell 
65 11  Live Cell 
65 12  Live Cell 
65 14  Live Cell 
65 19  Live Cell 
65 20  Live Cell 
65 22  Live Cell 
65 27  Live Cell 
65 30  Live Cell 
65 35  Live Cell 
65 40  Live Cell 
65 41  Live Cell 
65 48  Live Cell 
65 49  Live Cell 
65 50  Live Cell 
65 53  Live Cell 
65 57  Live Cell 
65 66  Live Cell 
65 67  Live Cell 
65 74  Live Cell 
65 81  Live Cell 
65 87  Live Cell 
65 91  Live Cell 
65 94  Live Cell 
65 98  Live Cell 
66 5  Live Cell 
66 6  Live Cell 
66 12  Live Cell 
66 15  Live Cell 
66 24  Live Cell 
66 42  Live Cell 
66 43  Live Cell 
66 60  Live Cell 
66 63  Live Cell 
66 67  Live Cell 
66 69  Live Cell 
66 74  Live Cell 
66 80  Live Cell 
66 85  Live Cell 
66 88  Live Cell 
66 89  Live Cell 
66 90  Live Cell 
66 96  Live Cell 
66 97  Live Cell 
67 4  Live Cell 
67 13  Live Cell 
67 18  Live Cell 
67 19  Live Cell 
67 24  Live Cell 
67 27  Live Cell 
67 32  Live Cell 
67 33  Live Cell 
67 34  Live Cell 
67 48  Live Cell 
67 57  Live Cell 
67 58  Live Cell 
67 64  Live Cell 
67 67  Live Cell 
67 74  Live Cell 
67 77  Live Cell 
67 79  Live Cell 
67 83  Live Cell 
67 86  Live Cell 
67 87  Live Cell 
67 89  Live Cell 
67 91  Live Cell 
67 97  Live Cell 
67 99  Live Cell 
68 10  Live Cell 
68 25  Live Cell 
68 31  Live Cell 
68 60  Live Cell 
68 70  Live Cell 
68 74  Live Cell 
68 75  Live Cell 
68 77  Live Cell 
68 78  Live Cell 
68 79  Live Cell 
68 82  Live Cell 
68 92  Live Cell 
69 0  Live Cell 
69 1  Live Cell 
69 4  Live Cell 
69 6  Live Cell 
69 15  Live Cell 
69 16  Live Cell 
69 19  Live Cell 
69 20  Live Cell 
69 21  Live Cell 
69 30  Live Cell 
69 35  Live Cell 
69 41  Live Cell 
69 42  Live Cell 
69 50  Live Cell 
69 53  Live Cell 
69 54  Live Cell 
69 55  Live Cell 
69 56  Live Cell 
69 61  Live Cell 
69 76  Live Cell 
69 77  Live Cell 
69 81  Live Cell 
69 82  Live Cell 
69 84  Live Cell 
69 86  Live Cell 
69 91  Live Cell 
69 95  Live Cell 
69 96  Live Cell 
70 17  Live Cell 
70 21  Live Cell 
70 26  Live Cell 
70 30  Live Cell 
70 34  Live Cell 
70 51  Live Cell 
70 55  Live Cell 
70 60  Live Cell 
70 62  Live Cell 
70 66  Live Cell 
70 68  Live Cell 
70 69  Live Cell 
70 76  Live Cell 
70 82  Live Cell 
70 83  Live Cell 
70 85  Live Cell 
70 86  Live Cell 
70 92  Live Cell 
71 4  Live Cell 
71 9  Live Cell 
71 11  Live Cell 
71 13  Live Cell 
71 14  Live Cell 
71 26  Live Cell 
71 29  Live Cell 
71 35  Live Cell 
71 36  Live Cell 
71 37  Live Cell 
71 38  Live Cell 
71 45  Live Cell 
71 59  Live Cell 
71 60  Live Cell 
71 71  Live Cell 
71 75  Live Cell 
71 77  Live Cell 
71 85  Live Cell 
72 9  Live Cell 
72 15  Live Cell 
72 35  Live Cell 
72 40  Live Cell 
72 45  Live Cell 
72 46  Live Cell 
72 50  Live Cell 
72 51  Live Cell 
72 53  Live Cell 
72 72  Live Cell 
72 74  Live Cell 
72 80  Live Cell 
72 83  Live Cell 
72 84  Live Cell 
72 91  Live Cell 
72 93  Live Cell 
73 6  Live Cell 
73 9  Live Cell 
73 10  Live Cell 
73 11  Live Cell 
73 12  Live Cell 
73 13  Live Cell 
73 15  Live Cell 
73 16  Live Cell 
73 20  Live Cell 
73 21  Live Cell 
73 25  Live Cell 
73 28  Live Cell 
73 31  Live Cell 
73 36  Live Cell 
73 40  Live Cell 
73 43  Live Cell 
73 63  Live Cell 
73 73  Live Cell 
73 82  Live Cell 
73 83  Live Cell 
73 97  Live Cell 
74 5  Live Cell 
74 20  Live Cell 
74 32  Live Cell 
74 35  Live Cell 
74 43  Live Cell 
74 47  Live Cell 
74 48  Live Cell 
74 51  Live Cell 
74 58  Live Cell 
74 66  Live Cell 
74 73  Live Cell 
74 75  Live Cell 
74 77  Live Cell 
74 80  Live Cell 
74 86  Live Cell 
75 2  Live Cell 
75 10  Live Cell 
75 16  Live Cell 
75 17  Live Cell 
75 21  Live Cell 
75 22  Live Cell 
75 25  Live Cell 
75 26  Live Cell 
75 31  Live Cell 
75 35  Live Cell 
75 41  Live Cell 
75 46  Live Cell 
75 50  Live Cell 
75 53  Live Cell 
75 57  Live Cell 
75 63  Live Cell 
75 65  Live Cell 
75 66  Live Cell 
75 78  Live Cell 
75 82  Live Cell 
75 87  Live Cell 
75 88  Live Cell 
75 91  Live Cell 
75 92  Live Cell 
75 94  Live Cell 
75 99  Live Cell 
76 1  Live Cell 
76 2  Live Cell 
76 4  Live Cell 
76 6  Live Cell 
76 10  Live Cell 
76 11  Live Cell 
76 12  Live Cell 
76 22  Live Cell 
76 28  Live Cell 
76 31  Live Cell 
76 35  Live Cell 
76 41  Live Cell 
76 46  Live Cell 
76 53  Live Cell 
76 63  Live Cell 
76 76  Live Cell 
76 78  Live Cell 
76 80  Live Cell 
76 84  Live Cell 
76 94  Live Cell 
77 2  Live Cell 
77 4  Live Cell 
77 6  Live Cell 
77 9  Live Cell 
77 11  Live Cell 
77 19  Live Cell 
77 28  Live Cell 
77 31  Live Cell 
77 35  Live Cell 
77 36  Live Cell 
77 37  Live Cell 
77 43  Live Cell 
77 44  Live Cell 
77 49  Live Cell 
77 51  Live Cell 
77 65  Live Cell 
77 74  Live Cell 
77 81  Live Cell 
77 86  Live Cell 
77 90  Live Cell 
77 92  Live Cell 
78 3  Live Cell 
78 9  Live Cell 
78 15  Live Cell 
78 16  Live Cell 
78 26  Live Cell 
78 37  Live Cell 
78 49  Live Cell 
78 53  Live Cell 
78 63  Live Cell 
78 82  Live Cell 
78 85  Live Cell 
78 87  Live Cell 
78 93  Live Cell 
79 8  Live Cell 
79 11  Live Cell 
79 12  Live Cell 
79 36  Live Cell 
79 42  Live Cell 
79 49  Live Cell 
79 52  Live Cell 
79 53  Live Cell 
79 63  Live Cell 
79 65  Live Cell 
79 69  Live Cell 
79 71  Live Cell 
79 73  Live Cell 
79 78  Live Cell 
79 82  Live Cell 
79 85  Live Cell 
79 90  Live Cell 
80 5  Live Cell 
80 16  Live Cell 
80 20  Live Cell 
80 25  Live Cell 
80 32  Live Cell 
80 41  Live Cell 
80 48  Live Cell 
80 56  Live Cell 
80 58  Live Cell 
80 62  Live Cell 
80 74  Live Cell 
80 78  Live Cell 
80 79  Live Cell 
80 86  Live Cell 
80 96  Live Cell 
80 97  Live Cell 
81 5  Live Cell 
81 6  Live Cell 
81 19  Live Cell 
81 22  Live Cell 
81 25  Live Cell 
81 29  Live Cell 
81 54  Live Cell 
81 56  Live Cell 
81 61  Live Cell 
81 66  Live Cell 
81 69  Live Cell 
81 72  Live Cell 
81 73  Live Cell 
81 75  Live Cell 
81 78  Live Cell 
81 87  Live Cell 
81 91  Live Cell 
81 93  Live Cell 
81 98  Live Cell 
82 0  Live Cell 
82 4  Live Cell 
82 5  Live Cell 
82 6  Live Cell 
82 13  Live Cell 
82 38  Live Cell 
82 41  Live Cell 
82 51  Live Cell 
82 52  Live Cell 
82 54  Live Cell 
82 58  Live Cell 
82 61  Live Cell 
82 63  Live Cell 
82 64  Live Cell 
82 70  Live Cell 
82 75  Live Cell 
82 86  Live Cell 
82 88  Live Cell 
82 90  Live Cell 
83 1  Live Cell 
83 3  Live Cell 
83 4  Live Cell 
83 7  Live Cell 
83 8  Live Cell 
83 15  Live Cell 
83 16  Live Cell 
83 22  Live Cell 
83 24  Live Cell 
83 25  Live Cell 
83 29  Live Cell 
83 32  Live Cell 
83 39  Live Cell 
83 48  Live Cell 
83 57  Live Cell 
83 60  Live Cell 
83 65  Live Cell 
83 70  Live Cell 
83 71  Live Cell 
83 76  Live Cell 
83 84  Live Cell 
83 87  Live Cell 
83 88  Live Cell 
83 93  Live Cell 
84 1  Live Cell 
84 5  Live Cell 
84 9  Live Cell 
84 12  Live Cell 
84 26  Live Cell 
84 29  Live Cell 
84 31  Live Cell 
84 39  Live Cell 
84 42  Live Cell 
84 52  Live Cell 
84 60  Live Cell 
84 61  Live Cell 
84 69  Live Cell 
84 70  Live Cell 
84 78  Live Cell 
84 81  Live Cell 
84 93  Live Cell 
84 98  Live Cell 
85 1  Live Cell 
85 6  Live Cell 
85 15  Live Cell 
85 21  Live Cell 
85 29  Live Cell 
85 41  Live Cell 
85 43  Live Cell 
85 44  Live Cell 
85 46  Live Cell 
85 50  Live Cell 
85 51  Live Cell 
85 54  Live Cell 
85 55  Live Cell 
85 63  Live Cell 
85 64  Live Cell 
85 69  Live Cell 
85 70  Live Cell 
85 73  Live Cell 
85 78  Live Cell 
85 79  Live Cell 
85 84  Live Cell 
85 87  Live Cell 
85 89  Live Cell 
86 5  Live Cell 
86 17  Live Cell 
86 28  Live Cell 
86 32  Live Cell 
86 38  Live Cell 
86 47  Live Cell 
86 48  Live Cell 
86 54  Live Cell 
86 56  Live Cell 
86 57  Live Cell 
86 58  Live Cell 
86 70  Live Cell 
86 76  Live Cell 
86 78  Live Cell 
86 81  Live Cell 
86 82  Live Cell 
86 90  Live Cell 
86 94  Live Cell 
86 99  Live Cell 
87 2  Live Cell 
87 4  Live Cell 
87 6  Live Cell 
87 7  Live Cell 
87 15  Live Cell 
87 28  Live Cell 
87 30  Live Cell 
87 35  Live Cell 
87 41  Live Cell 
87 49  Live Cell 
87 52  Live Cell 
87 53  Live Cell 
87 56  Live Cell 
87 59  Live Cell 
87 64  Live Cell 
87 67  Live Cell 
87 73  Live Cell 
87 80  Live Cell 
87 88  Live Cell 
87 92  Live Cell 
87 95  Live Cell 
87 99  Live Cell 
88 9  Live Cell 
88 10  Live Cell 
88 18  Live Cell 
88 22  Live Cell 
88 27  Live Cell 
88 28  Live Cell 
88 29  Live Cell 
88 31  Live Cell 
88 33  Live Cell 
88 35  Live Cell 
88 39  Live Cell 
88 42  Live Cell 
88 56  Live Cell 
88 58  Live Cell 
88 59  Live Cell 
88 69  Live Cell 
88 73  Live Cell 
88 86  Live Cell 
88 90  Live Cell 
88 94  Live Cell 
88 96  Live Cell 
88 99  Live Cell 
89 9  Live Cell 
89 10  Live Cell 
89 11  Live Cell 
89 13  Live Cell 
89 16  Live Cell 
89 25  Live Cell 
89 30  Live Cell 
89 42  Live Cell 
89 46  Live Cell 
89 47  Live Cell 
89 60  Live Cell 
89 63  Live Cell 
89 68  Live Cell 
89 70  Live Cell 
89 78  Live Cell 
89 79  Live Cell 
89 82  Live Cell 
89 83  Live Cell 
89 84  Live Cell 
89 94  Live Cell 
89 96  Live Cell 
90 0  Live Cell 
90 1  Live Cell 
90 3  Live Cell 
90 6  Live Cell 
90 8  Live Cell 
90 10  Live Cell 
90 12  Live Cell 
90 19  Live Cell 
90 20  Live Cell 
90 22  Live Cell 
90 24  Live Cell 
90 25  Live Cell 
90 26  Live Cell 
90 29  Live Cell 
90 43  Live Cell 
90 46  Live Cell 
90 54  Live Cell 
90 61  Live Cell 
90 64  Live Cell 
90 86  Live Cell 
90 97  Live Cell 
90 99  Live Cell 
91 4  Live Cell 
91 6  Live Cell 
91 11  Live Cell 
91 20  Live Cell 
91 33  Live Cell 
91 35  Live Cell 
91 36  Live Cell 
91 39  Live Cell 
91 42  Live Cell 
91 51  Live Cell 
91 59  Live Cell 
91 61  Live Cell 
91 62  Live Cell 
91 67  Live Cell 
91 68  Live Cell 
91 69  Live Cell 
91 72  Live Cell 
91 78  Live Cell 
91 90  Live Cell 
91 94  Live Cell 
92 3  Live Cell 
92 13  Live Cell 
92 17  Live Cell 
92 32  Live Cell 
92 34  Live Cell 
92 49  Live Cell 
92 59  Live Cell 
92 63  Live Cell 
92 64  Live Cell 
92 65  Live Cell 
92 67  Live Cell 
92 70  Live Cell 
92 78  Live Cell 
92 79  Live Cell 
92 82  Live Cell 
92 93  Live Cell 
92 97  Live Cell 
92 98  Live Cell 
93 10  Live Cell 
93 11  Live Cell 
93 12  Live Cell 
93 14  Live Cell 
93 18  Live Cell 
93 28  Live Cell 
93 33  Live Cell 
93 35  Live Cell 
93 39  Live Cell 
93 43  Live Cell 
93 49  Live Cell 
93 50  Live Cell 
93 54  Live Cell 
93 60  Live Cell 
93 63  Live Cell 
93 69  Live Cell 
93 70  Live Cell 
93 72  Live Cell 
93 81  Live Cell 
93 82  Live Cell 
93 90  Live Cell 
93 91  Live Cell 
93 98  Live Cell 
94 0  Live Cell 
94 2  Live Cell 
94 3  Live Cell 
94 12  Live Cell 
94 13  Live Cell 
94 17  Live Cell 
94 19  Live Cell 
94 20  Live Cell 
94 24  Live Cell 
94 31  Live Cell 
94 47  Live Cell 
94 52  Live Cell 
94 56  Live Cell 
94 63  Live Cell 
94 79  Live Cell 
94 80  Live Cell 
94 91  Live Cell 
94 98  Live Cell 
95 0  Live Cell 
95 1  Live Cell 
95 7  Live Cell 
95 10  Live Cell 
95 13  Live Cell 
95 14  Live Cell 
95 17  Live Cell 
95 21  Live Cell 
95 29  Live Cell 
95 31  Live Cell 
95 32  Live Cell 
95 43  Live Cell 
95 44  Live Cell 
95 46  Live Cell 
95 49  Live Cell 
95 50  Live Cell 
95 51  Live Cell 
95 56  Live Cell 
95 57  Live Cell 
95 67  Live Cell 
95 70  Live Cell 
95 76  Live Cell 
95 81  Live Cell 
95 85  Live Cell 
95 86  Live Cell 
95 89  Live Cell 
95 90  Live Cell 
95 96  Live Cell 
95 99  Live Cell 
96 0  Live Cell 
96 3  Live Cell 
96 4  Live Cell 
96 7  Live Cell 
96 14  Live Cell 
96 20  Live Cell 
96 25  Live Cell 
96 28  Live Cell 
96 32  Live Cell 
96 34  Live Cell 
96 38  Live Cell 
96 44  Live Cell 
96 55  Live Cell 
96 56  Live Cell 
96 58  Live Cell 
96 63  Live Cell 
96 67  Live Cell 
96 74  Live Cell 
96 76  Live Cell 
96 77  Live Cell 
96 81  Live Cell 
96 93  Live Cell 
97 3  Live Cell 
97 7  Live Cell 
97 9  Live Cell 
97 14  Live Cell 
97 22  Live Cell 
97 34  Live Cell 
97 35  Live Cell 
97 38  Live Cell 
97 45  Live Cell 
97 68  Live Cell 
97 76  Live Cell 
97 79  Live Cell 
97 80  Live Cell 
97 84  Live Cell 
97 87  Live Cell 
97 92  Live Cell 
98 2  Live Cell 
98 5  Live Cell 
98 9  Live Cell 
98 12  Live Cell 
98 19  Live Cell 
98 30  Live Cell 
98 38  Live Cell 
98 44  Live Cell 
98 56  Live Cell 
98 58  Live Cell 
98 65  Live Cell 
98 74  Live Cell 
98 77  Live Cell 
98 84  Live Cell 
98 91  Live Cell 
98 98  Live Cell 
99 7  Live Cell 
99 16  Live Cell 
99 26  Live Cell 
99 29  Live Cell 
99 30  Live Cell 
99 46  Live Cell 
99 54  Live Cell 
99 66  Live Cell 
99 70  Live Cell 
99 71  Live Cell 
99 78  Live Cell 
99 82  Live Cell 
99 90  Live Cell 
